"IL.1α","IL.1β","IL.2","IL.3","IL.4","IL.5","IL.6","IL.9","IL.10","IL.12p40","IL.12p70","IL.13","IL.17a","Eotaxin","GCSF","GMCSF","IFN.γ","KC","MCP.1","MIP.1a","MIP.1b","RANTES","TNFα","IL.15","IL.18","Basic.FGF","LIF","MCSF","MIG","MIP.2α","PDGF.BB","VEGF"
17.95,0.001,491.44,14.52,109.6,42.94,20.82,0.001,24.63,7.23,41.17,65.06,42.58,0.001,6.37,92.97,1620.69,12.36,302.76,679.53,2483.69,542.89,0.001,16.73,0.001,14.5,50.67,6.09,2439.04,310.54,0.001,71.3
15.72,0.001,0.001,10.41,3.92,5.34,717.12,0.001,123.57,385.19,106.5,61.71,3.08,129.14,45.57,125.14,6.12,111.18,417.49,2035.97,2426.07,958.95,80.97,27.93,0.001,20.45,3.85,4.73,44.59,715.26,0.001,99.81
5.78,0.001,0.001,2.62,0.001,1.06,1.45,0.001,0.001,5.16,0.001,2.74,0.56,0.001,6.37,0.001,0.001,22.04,27.01,40.1,103.9,118.13,0.001,7.78,0.001,17.64,1.18,2.79,19.36,243.03,0.001,47.96
12.44,0.001,0.001,5.85,3.13,5.34,28.4,0.001,16.61,8.93,7.05,21.98,1.63,0.001,86.94,52.4,0.92,188.47,131.53,703.2,836.38,1273.06,0.001,16.73,0.001,20.45,4.51,3.39,19.36,1574.08,0.001,36.59
33.37,0.001,0.001,10.69,6.55,6.78,137.58,0.001,123.88,28.35,59.23,76.81,2.47,77.13,1961.98,115.22,5.4,2124.5,575.24,3792.84,4290.19,517.66,629.34,30.17,0.001,25.42,11.11,5.94,63,15416.53,0.001,61
10.02,0.001,0.001,4.84,0.29,1.66,13.55,0.001,0.001,8.08,0.001,12.25,0.11,0.001,26.21,10.5,1.1,111.07,86.06,341.56,517.96,1020.91,0.001,5.54,0.001,10.75,2.85,2.35,11.86,716.9,0.001,35.89
5.38,0.001,0.001,2.62,0.001,1.06,0.94,0.001,0.001,6.19,0.001,0.001,0.11,0.001,0.001,0.001,1.21,9.82,0.001,11.31,43.65,69.28,31.93,10.02,0.001,14.5,1.52,3.09,11.86,78.9,0.001,55.17
15.72,0.001,815.11,17.2,352.53,189.18,32.39,0.001,109.81,6.81,70.48,187.54,56.7,0.001,8.4,139.48,503.13,10.82,140.79,320.94,1741.25,293.69,0.001,16.73,0.001,20.45,212.39,14.07,1618.47,114.7,0.001,155.55
18.13,3.62,4.87,12.01,7.11,6.31,1010.53,15.06,377.24,208.38,113.28,81.86,3.29,296.34,14.81,153.29,29.13,15.5,264.37,3722.97,7865.46,1171.09,374.11,14.49,0.001,14.5,3.51,5.79,92.33,91.12,0.001,544.59
6.67,0.001,0.001,3.24,0.001,1.66,2.69,0.001,1.41,9.36,0.001,2.74,0.56,0.001,1.34,13.46,2.02,6.71,27.01,47.93,341.87,148.02,0.001,1.07,0.001,14.5,1.52,2.65,19.36,54.78,0.001,31
10.77,0.001,0.001,5.34,2.48,2.78,36.65,0.001,81.62,7.23,0.001,21.98,1.21,0.001,12.22,41.81,14.99,21.4,112.22,471.57,1292.79,1616.15,0.001,5.54,0.001,12.73,2.85,4.58,53.66,192.19,0.001,89.22
43.69,0.001,0.001,7.95,4.22,4.85,349.73,0.001,82.58,20.12,36.62,55.03,4.61,77.13,555.67,95.69,136.37,508.12,282.07,1618.15,2306.05,635.41,0.001,21.21,0.001,20.45,11.11,5.79,72.57,4910.05,0.001,124.34
8.7,0.001,0.001,4.03,1.15,1.66,53.73,0.001,3.02,13.75,0.001,9.05,1.1,0.001,10.42,0.001,45.78,31.15,42.67,220.37,607.3,1110.3,0.001,0.001,0.001,10.75,4.51,2.65,44.59,283.46,0.001,26.18
6.18,0.001,0.001,2.32,0.001,0.001,1.96,0.001,0.001,9.58,0.001,0.001,0.56,0.001,0.46,0.001,0.15,4.68,0.001,24.52,174.93,108.91,26.77,5.54,0.001,5.45,1.52,1.91,5.1,17.64,0.001,36.59
10.87,0.001,489.15,9.67,69.26,17.02,21.22,0.001,4.95,4.96,15.71,25.24,17.55,0.001,1.78,69.99,346.84,4.68,91.52,228.91,924.9,205.7,0.001,10.02,0.001,10.75,30.86,2.79,382.55,87.12,0.001,47.24
12.53,0.001,0.001,8.66,2.65,1.66,460.71,0.001,53.14,181.27,70.48,48.36,2.05,176.68,8.81,111.42,4.33,18.42,149.81,1297.09,1255.04,432.17,176.59,14.49,0.001,14.5,1.52,1.76,19.36,100.63,0.001,80.22
6.47,0.001,0.001,2.47,0.001,0.39,1.04,0.001,0.001,5.78,0.001,0.001,0.001,0.001,0.001,10.5,1.82,4.51,0.001,10.68,33.2,49.11,104.68,3.31,0.001,10.75,0.51,1.47,0.001,33.87,0.001,9.61
7.45,0.001,0.001,3.24,0.001,0.39,9.71,0.001,1.41,5.47,0.001,12.25,0.34,0.001,6.77,21.19,3.55,30.73,0.001,128.23,184.94,462.91,0.001,3.31,0.001,5.45,1.85,1.4,5.1,208.65,0.001,12.81
36.72,0.001,0.001,7.59,3.21,2.78,111.25,0.001,25.32,16.68,36.62,38.41,1.53,0.001,623.94,80.35,3.68,895.35,167.27,1424.25,1409.38,244.22,362.61,15.61,0.001,17.64,4.51,2.79,27.38,3988.1,0.001,24.81
6.18,0.001,0.001,2.47,0.001,0.001,4.27,0.001,0.001,5.16,0.001,0.001,0.001,0.001,0.46,0.001,0.27,21.4,0.001,64.58,94.05,324.92,0.001,0.001,0.001,5.45,1.52,0.6,5.1,151.16,0.001,8.98
5.38,0.001,0.001,2.62,0.001,0.001,0.94,0.001,0.001,3.66,2.97,0.001,0.34,0.001,0.001,0.001,0.43,2.66,0.001,5.78,16.41,32.08,336.41,3.31,0.001,5.45,0.84,1.62,5.1,7.69,0.001,12.17
